Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Shots,SoT,Yellows,Reds,Touches,Press,Tackles,Interceptions,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Carries,Prog,Succ,Att,Report,Name
Sat,MLS,Regular Season,Home,L 1–2,Atlanta Utd,Columbus Crew,Y*,DM,45,0,0,0,0,1,1,0,0,53,5,0,0,1,0.0,0.0,0.0,3,0,44,48,91.7,5,44,6,0,1,Match Report,Matheus Rossetto
Sun,MLS,Regular Season,Home,W 2–0,Atlanta Utd,Inter Miami,N,DM,6,0,0,0,0,0,0,0,0,13,5,0,0,0,0.0,0.0,0.0,0,0,12,13,92.3,2,13,1,0,0,Match Report,Matheus Rossetto
Sat,MLS,Regular Season,Away,L 1–2,Atlanta Utd,Toronto FC,N,DM,27,0,0,0,0,0,0,0,0,31,4,0,0,0,0.0,0.0,0.0,0,0,25,27,92.6,1,26,0,0,0,Match Report,Matheus Rossetto
Thu,MLS,Regular Season,Away,L 1–2,Atlanta Utd,NY Red Bulls,Y*,DM,90,0,0,0,0,0,0,0,0,77,16,3,4,2,0.0,0.0,0.0,1,0,62,69,89.9,5,58,7,1,1,Match Report,Matheus Rossetto
Sun,MLS,Regular Season,Away,D 2–2,Atlanta Utd,NYCFC,Y,DM,90,0,0,0,0,0,0,0,0,57,26,2,0,2,0.0,0.0,0.0,0,0,46,50,92.0,4,44,6,1,1,Match Report,Matheus Rossetto
Sat,MLS,Regular Season,Home,L 0–3,Atlanta Utd,Austin FC,Y,DM,81,0,0,0,0,0,0,0,0,97,19,3,2,1,0.0,0.0,0.0,1,0,82,87,94.3,7,76,5,2,3,Match Report,Matheus Rossetto
Wed,MLS,Regular Season,Home,W 2–1,Atlanta Utd,Real Salt Lake,Y*,"DM,AM",90,0,1,0,0,2,0,0,0,79,10,1,0,1,0.0,0.0,0.1,3,1,63,71,88.7,7,61,7,0,1,Match Report,Matheus Rossetto
Sun,MLS,Regular Season,Home,D 1–1,Atlanta Utd,Orlando City,Y*,DM,90,0,0,0,0,0,0,0,0,85,12,1,0,5,0.0,0.0,0.1,3,0,68,72,94.4,5,71,5,1,1,Match Report,Matheus Rossetto
Sun,MLS,Regular Season,Home,W 3–1,Atlanta Utd,Sporting KC,Y,CB,90,0,0,0,0,1,0,0,0,67,7,3,5,0,0.0,0.0,0.0,0,0,47,55,85.5,1,42,6,1,1,Match Report,George Campbell
Sat,MLS,Regular Season,Away,L 0–3,Atlanta Utd,Colorado Rapids,Y,DM,63,0,0,0,0,1,1,0,0,40,5,1,1,2,0.0,0.0,0.2,2,0,28,32,87.5,1,28,2,0,1,Match Report,George Campbell
